,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,RH_1,RH_2,RH_3,RH_4
TGME49_205300,1239,1691,719,1199,1239,1521,990,1014
TGME49_205310,0,1,0,2,0,0,0,0
TGME49_205320,3764,5142,3118,4500,3764,4591,3667,3921
TGME49_205330,1928,2069,1422,2191,1928,2005,1507,1933
TGME49_205340,12102,13694,6719,9825,12102,12753,7689,8722
TGME49_205350,4720,6335,3541,4589,4720,6052,3946,4160
TGME49_205360,1321,1116,708,1342,1321,976,935,1095
TGME49_205370,1418,1977,1137,1800,1418,1895,1322,1649
TGME49_205380,3002,3833,1957,2570,3002,3216,2290,2273
TGME49_205390,1089,1390,887,1053,1089,1368,1101,940
TGME49_205398,3,6,2,3,3,1,3,3
TGME49_205402,5,2,2,2,5,4,0,1
TGME49_205410,353,450,228,361,353,431,300,297
TGME49_205420,35,45,33,44,35,53,43,31
TGME49_205425,2,2,0,0,2,2,1,0
TGME49_205430,3,2,2,2,3,1,4,1
TGME49_205440,2460,2903,1753,2130,2460,2670,1934,1872
TGME49_205450,38,29,39,40,38,31,39,31
TGME49_205460,956,1070,657,823,956,950,752,719
TGME49_205470,16512,20196,10759,13827,16512,18049,12665,11987
TGME49_205480,255,364,200,257,255,331,207,247
TGME49_205490,5268,6522,4040,5571,5268,6394,4683,4748
TGME49_205500,1962,2022,1238,1746,1962,1837,1457,1540
TGME49_205510,2476,2887,1542,2012,2476,2533,1876,1739
TGME49_205520,39,41,31,58,39,36,37,32
TGME49_205530,1,2,1,2,1,5,4,4
TGME49_205540,1746,2028,1152,1853,1746,1955,1433,1606
TGME49_205550,1008,1167,609,896,1008,1101,715,761
TGME49_205558,5546,6618,3633,5334,5546,6065,4192,4549
TGME49_205562,1133,999,727,1148,1133,860,892,964
TGME49_205570,1078,1509,820,1164,1078,1292,938,979
TGME49_205580,1334,1807,1031,1509,1334,1582,1235,1232
TGME49_205590,4,10,4,6,4,6,3,1
TGME49_205600,753,913,544,658,753,877,661,578
TGME49_205615,1302,1304,754,1235,1302,1294,956,1041
TGME49_205625,1038,1224,667,934,1038,1143,809,780
TGME49_205630,93,183,86,120,93,186,95,115
TGME49_205640,1279,1092,812,1287,1279,900,1016,1062
TGME49_205650,6496,5535,3729,5319,6496,5078,4551,4741
TGME49_205658,0,1,0,2,0,4,1,0
TGME49_205662,19,23,4,11,19,21,11,14
TGME49_205670,1174,1069,692,1003,1174,968,794,852
TGME49_205680,2313,3430,1756,2731,2313,3427,1806,2019
TGME49_205690,910,1196,753,1016,910,1091,760,920
TGME49_205700,11715,13234,7738,9605,11715,12237,8759,8542
TGME49_205710,2466,2978,1650,2281,2466,2649,2024,2058
TGME49_205720,328,445,228,329,328,395,261,271
TGME49_205730,1043,1328,718,1053,1043,1181,889,871
TGME49_205740,2337,2537,1402,1922,2337,2229,1799,1762
TGME49_205750,1517,1615,907,1291,1517,1440,1189,1194
TGME49_205760,4,0,1,0,4,2,2,0
TGME49_205770,49,89,37,53,49,76,48,48
TGME49_206290,329,506,256,365,329,382,303,311
TGME49_206300,716,985,551,651,716,848,612,547
TGME49_206310,1081,1394,741,913,1081,1278,819,871
TGME49_206320,1619,1935,1209,1454,1619,1593,1336,1347
TGME49_206330,1260,1482,823,1146,1260,1441,1023,946
TGME49_206340,4851,6464,3535,4882,4851,6203,4024,4150
TGME49_206350,2070,2481,1324,1876,2070,2175,1477,1580
TGME49_206360,789,1026,598,776,789,1005,662,708
TGME49_206380,2722,2765,1598,2549,2722,2410,2218,2198
TGME49_206390,804,1022,547,731,804,920,639,722
TGME49_206400,229,338,101,162,229,291,119,154
TGME49_206415,814,755,524,755,814,641,651,661
TGME49_206430,1684,1454,1259,1881,1684,1270,1607,1546
TGME49_206440,10,16,5,8,10,22,5,7
TGME49_206450,7241,7082,4353,6819,7241,6538,5947,5824
TGME49_206460,907,1437,571,949,907,1374,665,844
TGME49_206470,5668,7252,4227,5689,5668,7099,5091,4998
TGME49_206480,2086,2505,1630,1966,2086,2382,1725,1622
TGME49_206490,1072,1054,571,820,1072,914,697,676
TGME49_206500,718,852,532,668,718,924,635,555
TGME49_206510,9503,15068,8462,12389,9503,14888,10023,9829
TGME49_206520,5,3,5,6,5,3,7,5
TGME49_206540,4573,6021,3337,4305,4573,5584,3833,3607
TGME49_206550,81,111,59,75,81,115,81,65
TGME49_206560,1,0,1,1,1,2,0,1
TGME49_206570,3,2,1,8,3,5,3,1
TGME49_206580,1873,2034,1076,1880,1873,1904,1425,1630
TGME49_206590,4156,5085,2940,4007,4156,4796,3464,3429
TGME49_206600,811,1108,564,873,811,1053,688,775
TGME49_206605,115,122,58,93,115,58,88,101
TGME49_206610,1195,1245,768,966,1195,1015,806,745
TGME49_206620,1,1,2,1,1,1,2,0
TGME49_206630,1167,1595,854,1071,1167,1391,945,911
TGME49_206640,3251,3781,2279,3245,3251,3511,2656,2718
TGME49_206650,45,64,43,44,45,52,34,26
TGME49_206660,7,23,7,11,7,16,4,10
TGME49_206670,3513,3893,2394,3527,3513,3848,2872,2927
TGME49_206680,459,679,345,455,459,629,397,390
TGME49_206690,1995,3413,1927,2654,1995,3173,2252,2244
