Geneid,RH_1,RH_2,RH_3,RH_4,Mock_1,Mock_2,Mock_3,Mock_4
ZNF385A,73,163,131,43,471,895,747,497
ZNF385B,0,0,0,0,0,0,0,0
ZNF385C,0,1,1,0,1,0,3,0
ZNF385D,0,2,3,1,0,5,1,0
ZNF385D-AS1,0,0,0,0,0,0,0,0
ZNF385D-AS2,0,0,0,0,0,0,0,0
ZNF391,8,8,1,9,3,0,7,1
ZNF394,291,413,315,242,852,958,690,802
ZNF395,80,115,98,43,174,175,310,214
ZNF396,25,20,17,3,138,112,104,78
ZNF397,190,212,202,142,1092,755,956,828
ZNF398,139,187,81,75,680,808,789,882
ZNF404,0,0,1,0,1,2,2,3
ZNF407,101,103,112,85,354,305,376,265
ZNF407-AS1,34,29,38,26,154,168,174,129
ZNF408,76,96,73,41,216,292,236,170
ZNF41,11,13,26,14,72,55,97,64
ZNF410,656,758,654,422,656,664,545,547
ZNF414,11,35,27,12,52,89,79,51
ZNF415,1,5,6,5,18,10,11,5
ZNF416,7,12,6,3,11,9,26,18
ZNF417,82,125,154,105,311,294,314,317
ZNF418,7,7,17,15,13,10,28,45
ZNF419,13,9,23,23,41,39,102,90
ZNF420,8,7,14,5,24,18,48,19
ZNF423,0,1,0,0,0,0,0,0
ZNF425,0,2,2,0,7,16,17,8
ZNF426,189,281,263,256,97,89,106,109
ZNF426-DT,1,1,3,0,0,1,2,0
ZNF428,5,6,16,10,14,14,30,7
ZNF429,20,238,21,68,68,581,75,207
ZNF43,21,143,39,70,25,19,24,20
ZNF43_1,0,0,0,0,1,0,0,0
ZNF430,37,106,48,49,156,175,118,164
ZNF430_1,0,0,0,0,0,0,0,0
ZNF431,31,114,61,60,168,183,218,203
ZNF432,21,25,39,39,120,80,85,133
ZNF433,3,4,9,8,14,12,19,14
ZNF433-AS1,35,36,61,54,62,84,83,90
ZNF436,0,0,0,0,0,0,1,0
ZNF436_1,0,0,0,0,0,0,0,0
ZNF436-AS1,0,0,0,0,0,0,0,0
ZNF436-AS1_1,0,0,0,0,0,0,0,0
ZNF438,268,405,458,320,917,1171,573,812
ZNF439,12,29,17,21,65,104,81,108
ZNF44,238,302,314,258,616,451,536,415
ZNF440,22,51,33,43,125,109,113,167
ZNF441,19,16,25,18,119,56,129,89
ZNF442,8,7,2,6,0,2,7,1
ZNF443,41,50,58,58,11,4,12,13
ZNF444,9,15,37,7,58,36,96,33
ZNF445,1027,1216,753,655,666,448,642,530
ZNF446,38,38,30,21,67,115,82,58
