Geneid,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,LPS_1,LPS_2,LPS_3,LPS_4
RBM12B-DT,0,0,0,0,1,0,1,0
RBM14,676,733,466,363,438,335,727,255
RBM14-RBM4,0,0,0,0,0,0,0,0
RBM15,433,452,277,247,140,110,187,94
RBM15-AS1,4,3,1,1,1,1,2,1
RBM15B,280,395,222,202,250,302,626,220
RBM17,1678,2291,953,1247,1895,1435,1805,1891
RBM18,474,376,253,282,468,547,690,411
RBM19,63,47,67,27,82,51,272,85
RBM20,1,2,1,0,7,3,11,0
RBM22,957,677,451,409,3501,2283,3177,2083
RBM23,2706,2188,1343,1115,7365,4038,7411,4744
RBM24,1,3,1,0,0,0,1,0
RBM25,1985,1861,1199,1119,5119,5083,6990,4570
RBM25-AS1,1,0,0,0,0,2,2,0
RBM26,256,202,155,113,617,555,1223,552
RBM26-AS1,2,0,2,0,1,1,5,1
RBM27,218,130,113,95,544,320,569,355
RBM28,228,178,184,111,226,514,682,290
RBM3,585,540,480,304,1337,1298,2233,824
RBM33,1134,927,627,589,2384,2524,4375,2514
RBM33-DT,5,4,4,2,12,17,38,18
RBM34,316,249,184,171,531,328,672,285
RBM38,296,296,283,168,507,524,1079,432
RBM38-AS1,7,3,10,4,17,7,26,4
RBM39,4072,2962,1926,1889,9909,9230,12618,9123
RBM4,164,190,101,92,287,248,469,242
RBM41,18,7,18,4,70,20,137,25
RBM42,442,518,333,269,1054,918,1176,736
RBM43,41,26,31,27,155,95,248,115
RBM44,16,12,8,8,23,32,29,12
RBM45,8,4,13,7,40,15,74,20
RBM46,0,0,0,0,0,0,0,0
RBM47,2344,2382,1279,1098,2392,3795,3841,2127
RBM48,150,78,71,56,432,316,483,361
RBM4B,227,198,145,106,85,64,135,110
RBM5,2258,1870,1300,1143,6221,5460,8261,5369
RBM5-AS1,217,73,73,69,538,231,525,357
RBM6,367,269,349,187,722,562,1867,598
RBM7,312,247,169,175,894,659,820,564
RBM8A,168,113,101,58,622,466,933,547
RBMS1,2540,2027,932,1051,4510,3353,3861,2704
RBMS2,27,28,34,9,60,64,158,57
RBMS3,0,0,0,0,1,2,1,0
RBMS3-AS1,0,0,0,0,0,0,0,0
RBMS3-AS2,0,0,1,0,4,1,0,0
RBMS3-AS3,0,0,0,0,0,0,0,0
RBMX,269,152,257,115,659,317,1247,408
RBMX2,46,49,47,25,92,76,178,105
RBMXL1,320,213,131,104,562,256,389,233
RBMXL2,0,0,0,0,0,0,0,0
RBMXL3,0,0,0,0,0,0,0,0
RBMY1A1,0,0,0,0,0,0,0,0
RBMY1A3P,0,0,0,0,0,0,0,0
RBMY1A3P_1,0,0,0,0,0,0,0,0
RBMY1B,0,0,0,0,0,0,0,0
RBMY1D,0,0,0,0,0,0,0,0
RBMY1E,0,0,0,0,0,0,0,0
RBMY1F,0,0,0,0,0,0,0,0
RBMY1J,0,0,0,0,0,0,0,0
RBMY2EP,0,0,0,0,0,0,0,0
RBMY2FP,0,0,0,0,0,0,0,0
RBMY3AP,0,0,0,0,0,0,0,0
RBMY3AP_1,0,0,0,0,0,0,0,0
RBP1,0,1,0,0,0,0,0,0
RBP2,0,0,0,0,0,0,0,0
RBP3,0,0,0,0,0,0,0,0
RBP4,0,0,0,0,0,0,0,0
RBP5,0,0,0,0,0,0,0,0
RBP5_1,0,0,0,0,0,0,0,0
RBP7,13,65,17,13,28,132,85,42
RBPJ,2410,2243,1214,1283,2238,4492,5308,3003
RBPJL,0,0,0,1,0,0,0,0
RBPMS,19,21,14,14,46,50,86,40
RBPMS2,1,0,0,0,2,0,4,0
RBPMS-AS1,0,0,0,0,0,0,0,0
RBSN,334,292,232,209,594,589,1054,603
RBX1,89,105,84,46,162,139,291,166
RC3H1,968,705,415,470,3057,2509,3637,2467
RC3H1-DT,0,0,0,0,0,4,0,0
RC3H2,887,587,443,402,2429,1572,2966,1798
RCAN1,11,22,18,23,32,21,66,18
RCAN2,0,0,0,0,4,0,2,2
RCAN2-DT,0,0,0,0,0,0,0,0
RCAN3,112,46,148,24,251,107,651,37
RCAN3AS,0,1,1,0,1,1,3,0
RCBTB1,964,563,480,390,202,316,536,220
RCBTB2,71,71,60,28,92,154,218,83
RCC1,102,61,59,57,82,100,176,89
RCC1L,33,23,37,21,44,24,169,27
