Geneid,Mock_1,Mock_2,Mock_3,Mock_4,LPS_1,LPS_2,LPS_3,LPS_4
ABCC6_1,2,9,11,0,0,12,5,1
ABCC6P1,1,1,3,1,2,2,16,2
ABCC6P1_1,0,0,0,0,0,0,0,0
ABCC6P2,1,0,0,0,0,0,0,0
ABCC6P2_1,0,0,0,0,0,0,0,0
ABCC8,0,0,0,0,0,0,1,0
ABCC9,1,1,0,1,0,0,0,0
ABCD1,260,402,250,232,87,210,204,105
ABCD2,14,2,20,1,10,4,19,12
ABCD3,109,66,151,73,74,51,205,54
ABCD4,187,101,264,167,167,110,373,119
ABCE1,67,19,131,31,112,38,249,32
ABCF1,0,1,1,0,1,1,0,0
ABCF1_1,0,0,0,0,0,0,0,0
ABCF1_2,0,0,0,0,0,1,0,0
ABCF1_3,1,0,0,0,1,2,35,0
ABCF1_4,0,1,0,0,2,1,4,7
ABCF1_5,0,0,4,0,0,0,0,0
ABCF1_6,0,0,0,0,0,0,3,2
ABCF1-DT,0,0,0,0,0,0,0,0
ABCF2,31,26,50,25,31,20,65,24
ABCF2-H2BK1,1,0,0,0,0,0,2,0
ABCF3,533,887,661,501,383,515,672,317
ABCG1,1262,1573,2565,878,1198,836,4439,948
ABCG2,3,0,7,0,2,0,8,0
ABCG4,0,0,0,0,0,0,0,0
ABCG5,1,0,0,0,0,0,1,0
ABCG8,0,0,0,0,0,1,1,0
ABHD1,0,2,2,1,2,2,3,0
ABHD10,63,54,97,82,40,33,132,42
ABHD11,76,164,142,93,24,73,89,38
ABHD11-AS1,0,0,1,0,0,0,0,1
ABHD12,124,63,125,81,62,46,136,33
ABHD12B,27,18,17,20,9,9,9,9
ABHD13,769,624,441,502,742,392,679,391
ABHD14A,2,4,6,1,3,3,21,0
ABHD14A-ACY1,0,0,0,0,0,0,0,0
ABHD14B,47,41,102,21,64,51,210,37
ABHD15,123,56,214,88,109,47,343,62
ABHD16A,0,0,0,0,0,1,0,0
ABHD16A_1,0,0,0,0,0,0,0,0
ABHD16A_2,1,0,0,0,1,0,0,1
ABHD16A_3,5,1,8,2,0,0,2,0
ABHD16A_4,0,0,0,0,0,12,0,0
ABHD16A_5,0,0,0,0,0,0,0,1
ABHD16A_6,0,0,0,0,0,82,0,2
ABHD16B,0,0,0,0,0,0,0,0
ABHD17A,933,1404,1073,764,605,735,1234,460
ABHD17B,192,180,190,140,100,120,190,95
ABHD17C,46,284,26,33,16,16,18,5
ABHD18,351,204,287,251,189,133,319,187
ABHD2,23197,26639,23713,25848,4839,9250,11490,6429
ABHD3,2247,1647,1195,1374,652,851,724,344
ABHD4,2082,2127,1824,1680,1474,2635,2658,1762
ABHD5,3510,2685,2623,2733,613,1229,2140,1338
ABHD6,8,6,24,5,5,7,40,15
ABHD8,78,137,147,72,75,125,244,89
ABI1,2390,2127,1803,1923,3110,2428,3170,2077
ABI2,52,15,98,15,52,27,154,20
ABI3,385,416,475,262,114,232,451,163
ABI3BP,1,3,2,1,4,4,6,0
ABITRAM,149,128,130,182,72,73,160,93
ABL1,165,88,360,121,166,73,527,105
ABL2,159,101,145,113,183,57,247,60
ABLIM1,1032,494,2403,568,1086,483,4231,615
ABLIM2,1,1,3,1,2,1,10,5
