Geneid,RH_1,RH_2,RH_3,RH_4,LPS_1,LPS_2,LPS_3,LPS_4
ADORA2A,13,6,58,10,437,405,513,322
ADORA2A-AS1,18,13,79,19,1649,707,1149,630
ADORA2B,8,16,9,2,12,35,21,1
ADORA3,26,32,32,19,267,230,632,308
ADPGK,3618,4536,3101,2511,7221,4697,7012,4745
ADPGK-AS1,42,52,63,38,46,15,32,14
ADPRH,12,10,26,10,193,186,238,148
ADPRHL1,9,10,12,7,9,32,29,19
ADPRM,17,25,19,9,98,77,158,80
ADPRS,137,260,142,92,123,142,291,108
ADRA1A,0,0,0,0,0,0,0,0
ADRA1B,0,0,2,0,0,0,1,0
ADRA1D,0,0,0,0,0,0,0,0
ADRA2A,0,0,1,0,2,0,1,0
ADRA2B,5,11,17,4,19,24,54,8
ADRA2C,0,0,0,1,0,0,0,0
ADRB1,3,2,2,3,2,0,1,1
ADRB2,9,6,23,5,37,28,87,26
ADRB3,0,0,0,0,0,0,0,0
ADRM1,594,798,653,427,1461,2090,2003,1352
ADSL,42,50,61,24,117,89,283,103
ADSS1,1,2,0,0,2,0,8,0
ADSS2,238,515,203,256,254,991,1059,526
ADTRP,9,1,10,0,68,19,98,5
AEBP1,13,8,18,5,23,21,110,31
AEBP2,87,111,110,62,346,294,467,237
AEN,16,35,60,18,98,88,180,36
AFAP1,4,2,26,8,21,13,79,27
AFAP1-AS1,0,0,0,0,0,0,1,0
AFAP1L1,0,0,0,0,4,1,0,0
AFAP1L2,1,3,2,1,3,2,5,0
AFDN,40,162,257,227,78,161,583,312
AFDN-DT,0,0,0,2,0,0,0,0
AFF1,1120,1096,693,666,665,1311,1807,808
AFF1-AS1,4,5,2,0,1,0,2,0
AFF2,9,10,6,5,41,17,49,16
AFF3,6,2,19,10,45,10,97,46
AFF4,1012,808,1168,729,4026,3009,4249,2429
AFF4-DT,0,0,0,0,0,2,0,0
AFG1L,0,0,1,1,7,4,12,1
