Geneid,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,RH_1,RH_2,RH_3,RH_4,Mock_1,Mock_2,Mock_3,Mock_4,LPS_1,LPS_2,LPS_3,LPS_4
OSER1-DT,69,99,62,35,49,85,83,43,203,290,230,184,60,245,245,106
OSGEP,4,1,0,0,0,0,1,0,3,0,0,6,0,18,1,0
OSGEP_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSGEPL1,6,1,8,3,4,1,4,5,13,3,36,13,7,7,43,14
OSGEPL1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSGIN1,208,190,118,119,49,96,99,66,155,212,113,144,127,296,164,101
OSGIN2,1293,837,449,365,629,475,452,294,2123,1033,1007,814,1880,2097,1868,1077
OSM,14455,11511,7506,8330,8515,8656,8811,7201,1284,1426,735,707,5975,2201,1441,920
OSMR,9,8,6,4,4,5,4,2,50,17,27,25,42,21,32,25
OSMR-DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSR1,2,2,3,1,3,2,2,2,3,5,1,2,4,4,9,1
OSR2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2
